ID,name,year,mileage,engine,transmission,age,price
1247,vauxhall astra,2018,57440,Diesel,Manual,5,9800.0
314,skoda octavia,2020,3533,Petrol,Semiautomatic,3,17701.0
2255,toyota yaris,2018,9965,Hybrid,Automatic,5,14495.0
911,vauxhall corsa,2015,27035,Petrol,Manual,8,6290.0
2744,ford ecosport,2019,12335,Petrol,Manual,4,15300.0
2120,volkswagen tiguan,2017,34287,Diesel,Semiautomatic,6,25500.0
392,renault captur,2018,20861,Petrol,Manual,5,11000.0
2496,nissan qashqai,2018,40598,Diesel,Manual,5,17395.0
2256,toyota yaris,2017,3000,Hybrid,Automatic,6,13995.0
317,skoda octavia,2020,7110,Diesel,Manual,3,19290.0
1736,honda civic,2009,86133,Petrol,Manual,14,6250.0
2883,ford kuga,2018,28433,Diesel,Manual,5,16500.0
